,Column1,Column2,Column3
567,FaZzyTheGod,Dansgaming,RT
568,gintoki_nut,gintoki_nut,Tweet
569,maybejustalot,Dansgaming,RT
570,ethlouis,amazingatheist,RT
571,CristianNXT,CristianNXT,Tweet
572,Dansgaming,Dansgaming,Tweet
573,InfinityOn_Joe,InfinityOn_Joe,Tweet
574,BJamesChandler,BJamesChandler,Tweet
575,thechrisullrich,thechrisullrich,Tweet
576,Seinfelds_List,Seinfelds_List,Tweet
577,natekushner,natekushner,Tweet
578,TheUchihaSage,TheUchihaSage,Tweet
579,PatrickFisk,PatrickFisk,Tweet
580,KFirebore23,KFirebore23,Tweet
581,xXJannneXx,xXJannneXx,Tweet
582,NBWmusic,NBWmusic,Tweet
583,jmarianos,jmarianos,Tweet
584,GrayLifeZone,GrayLifeZone,Tweet
585,ShimohiHikagami,ShimohiHikagami,Tweet
586,venturian55,venturian55,Tweet
587,Diagonchloe,itsDanBull,RT
588,a7xkillera7x,a7xkillera7x,Tweet
589,Quackerkit,Quackerkit,Tweet
590,iAmPimmiCue,iAmPimmiCue,Tweet
591,MrAbelGreen,MrAbelGreen,Tweet
592,Thorny_Games,Thorny_Games,Tweet
593,HazakiMoon,BeccaLipman,RT
594,wavvyjourni,wavvyjourni,Tweet
595,spikejonzing,spikejonzing,Tweet
596,Bobman_youtube,Bobman_youtube,Tweet
597,thatswattsup,thatswattsup,Tweet
598,Ben_1878,caudlevision,RT
599,IDMention,IDMention,Tweet
600,unknownminutes,Dansgaming,RT
601,CptLvl,caudlevision,RT
602,jp_jordan,BrianLynch,RT
603,LilPham_,NathanZed,RT
604,BrianLynch,BrianLynch,Tweet
605,WLG_East,WLG_East,Tweet
606,GunmetalMite,mikeyface,RT
607,TashoftheFuture,BrianLynch,RT
608,xellos61,salithtaydan,RT
609,refocusedmedia,BrianLynch,RT
610,BrianLynch,BrianLynch,Tweet
611,zayo60,zayo60,Tweet
612,MattyMondays,MattyMondays,Tweet
613,SkizzleTwittzle,Dansgaming,RT
614,williamcooper16,williamcooper16,Tweet
615,denny1514,denny1514,Tweet
616,gmetzger16,gmetzger16,Tweet
617,1stltrage,Dansgaming,RT
618,WalkinsFrost,Dansgaming,RT
619,William_Dublin,William_Dublin,Tweet
620,bishops_gate88,Dansgaming,RT
621,Nateoooooooo,Nateoooooooo,Tweet
622,kingkongdonk,kingkongdonk,Tweet
623,AyrroGaming,AyrroGaming,Tweet
624,cgm_co,cgm_co,Tweet
625,Dollarluigi,Dollarluigi,Tweet
626,JGs_Anime,JGs_Anime,Tweet
627,meow_meow_soup,meow_meow_soup,Tweet
628,DerplesThePanda,BluZephyr,RT
629,NathanSEGarcia,askagangsta_,RT
630,garlicbug,garlicbug,Tweet
631,spikejonzing,spikejonzing,Tweet
632,Grim_al_kin,Grim_al_kin,Tweet
633,Burribot_32,Burribot_32,Tweet
634,itsabove10stars,itsabove10stars,Tweet
635,egg_official,egg_official,Tweet
636,DynamiteRampage,DynamiteRampage,Tweet
637,max_smith,max_smith,Tweet
638,dragon_slumber,dragon_slumber,Tweet
639,ps3spill,Dansgaming,RT
640,ELumiukko,Dansgaming,RT
641,CJensen1999,CJensen1999,Tweet
642,Bethanyy_Mariee,Bethanyy_Mariee,Tweet
643,derekeb,thatswattsup,RT
644,Rassputin123,BeccaLipman,RT
645,MLJowitt,Dansgaming,RT
646,Truegam3r,Truegam3r,Tweet
647,GLTheGameMaster,Dansgaming,RT
648,anonchileno,anonchileno,Tweet
649,icrys1s,Dansgaming,RT
650,funnyclone,funnyclone,Tweet
651,superbananaman3,superbananaman3,Tweet
652,theorousseau51,GiveMeInternet,RT
653,Gabysaurus,Gabysaurus,Tweet
654,GingerTownUSA,GingerTownUSA,Tweet
655,Heady1313,Heady1313,Tweet
656,MasterOfLag,MasterOfLag,Tweet
657,MilesKG21,Dansgaming,RT
658,Azure_Haseo23,Dansgaming,RT
